architecture,board_slot_width,bus_interface,chip_package,display_connectors,double_float_performance,foundry,generation,half_float_performance,manufacturer,memory_type,name,pixel_rate,power_connectors,price,ray_tracing_cores,release_date,render_output_processors,shading_units,single_float_performance,streaming_multiprocessors,tensor_cores,texture_mapping_units,texture_rate
Rage 3,Single-slot,AGP 2x,,1x VGA,,UMC,Rage 3,,ATI,SDR,3D Rage PRO AGP,0.075,,0,0,1997-03-01,1,0,,0,0,1,0.075
Rage 3,Single-slot,PCI,,1x VGA,,UMC,Rage 3,,ATI,SDR,3D Rage PRO PCI,0.075,,0,0,1997-03-01,1,0,,0,0,1,0.075
Mach,IGP,AGP 2x,,,,UMC,Rage Mobility,,ATI,SDR,Rage LT PRO AGP,0.075,,0,0,1997-11-01,1,0,,0,0,1,0.075
Rage 3,Single-slot,AGP 2x,,1x VGA,,UMC,Rage 3,,ATI,SDR,Rage PRO Turbo AGP,0.075,,0,0,1997-03-01,1,0,,0,0,1,0.075
Rage 3,Single-slot,PCI,,1x DB13W3,,UMC,Rage 3,,ATI,SDR,Rage PRO Turbo PCI,0.075,,0,0,1997-03-01,1,0,,0,0,1,0.075
,,,,,,Sony,Console GPU(Sony),,Sony,SGRAM,Playstation GPU 350nm,0.053,,0,0,1997-11-13,1,0,,0,0,3,0.159
,Single-slot,AGP 2x,,1x VGA,,ST,Riva,,NVIDIA,SDR,Riva 128ZX,0.1,None,0,0,1998-02-23,1,0,,0,0,1,0.1
Fahrenheit,Single-slot,AGP 2x,,1x VGA,,TSMC,Riva,,NVIDIA,SDR,Riva TNT,0.18,None,0,0,1998-03-23,2,0,,0,0,2,0.18
i740,Single-slot,AGP 2x,,1x VGA,,Intel,Graphics,,Intel,SDR,i740,0.066,,0,0,1998-02-12,1,0,,0,0,1,0.066
i740,Single-slot,AGP 2x,,1x VGA,,Intel,Graphics,,Intel,SDR,i740 8 MB,0.066,,0,0,1998-02-12,1,0,,0,0,1,0.066
i740,IGP,AGP 2x,,,,Intel,Graphics(IGP),,Intel,System Shared,i740 Graphics,0.066,,0,0,1998-01-01,1,0,,0,0,1,0.066
Generation 1.0,IGP,AGP 2x,,,,Intel,Graphics(IGP),,Intel,System Shared,i752 Graphics,0.1,,0,0,1998-01-01,1,0,,0,0,1,0.1
Rage 4,Single-slot,AGP 2x,BGA-272/329,1x VGA,,TSMC,Rage GL,,ATI,SDR,Rage 128 GL,0.16,None,0,0,1998-08-27,2,0,,0,0,2,0.16
Rage 4,Single-slot,PCI,BGA-272/329,1x VGA,,TSMC,Rage GL,,ATI,SDR,Rage 128 GL PCI,0.206,None,0,0,1998-08-27,2,0,,0,0,2,0.206
Rage 4,Single-slot,AGP 4x,BGA-272/329,1x VGA,,TSMC,Rage GL,,ATI,DDR,Rage 128 PRO Ultra GL,0.26,None,0,0,1998-08-01,2,0,,0,0,2,0.26
Rage 4,Single-slot,AGP 2x,BGA-272/329,1x VGA,,TSMC,Rage 4,,ATI,DDR,Rage 128 VR AGP,0.16,None,0,0,1998-08-01,2,0,,0,0,2,0.16
Rage 4,Single-slot,PCI,BGA-272/329,1x VGA,,TSMC,Rage 4,,ATI,DDR,Rage 128 VR PCI,0.16,None,0,0,1998-08-01,2,0,,0,0,2,0.16
Rage 3,Single-slot,PCI,,1x VGA,,TSMC,Rage 3,,ATI,SDR,Rage XL PCI,0.083,None,0,0,1999-01-11,1,0,,0,0,1,0.083
,Single-slot,AGP 2x,,1x VGA,,TSMC,Voodoo Banshee,,3dfx,SDR,Voodoo Banshee AGP 16 MB,0.1,None,0,0,1998-06-22,1,0,,0,0,1,0.1
,Single-slot,PCI,,1x VGA,,TSMC,Voodoo Banshee,,3dfx,SDR,Voodoo Banshee PCI 16 MB,0.1,None,0,0,1998-06-22,1,0,,0,0,1,0.1
,Single-slot,PCI,,1x VGA,,TSMC,Voodoo2,,3dfx,EDO,Voodoo2 12 MB,0.09,None,0,0,1998-02-02,1,0,,0,0,2,0.18
,Single-slot,PCI,,1x VGA,,TSMC,Voodoo2,,3dfx,EDO,Voodoo2 8 MB,0.09,None,0,0,1998-02-02,1,0,,0,0,2,0.18
G200,Single-slot,AGP 2x,,"1x DVI, 1x VGA",,UMC,G Series(G2xx),,Matrox,SDR,Marvel G200,0.084,None,0,0,1998-01-01,1,0,,0,0,1,0.084
G200,Single-slot,PCI,,"1x DVI, 1x VGA",,UMC,G Series(G2xx),,Matrox,SGR,Millennium G200,0.084,None,0,0,1998-01-01,1,0,,0,0,1,0.084
